date,open,high,low,close,volume
2017-01-03,103.8093,105.7681,98.8177,101.4328,37549876
2017-01-04,102.8149,104.903,100.9555,103.7993,29980506
2017-01-05,103.9385,105.2212,100.4782,101.1643,24607382
2017-01-06,102.268,103.6601,100.6274,102.5166,20571416
2017-01-09,102.9144,107.3889,102.9144,106.673,22906225
2017-01-10,107.2,108.5722,105.0323,105.8675,22022969
2017-01-11,105.4002,105.5991,103.5607,104.565,13141588
2017-01-12,103.6402,104.1076,101.045,102.8547,15640414
2017-01-13,103.0138,104.4059,102.4768,102.8447,11445543
2017-01-17,102.4172,102.616,100.0009,100.5379,14515259
2017-01-18,99.6728,102.6459,98.5492,102.3675,16360615
2017-01-19,102.4868,105.8576,102.3973,104.565,16121778
2017-01-20,105.4798,106.1957,102.5365,103.4215,12300557
2017-01-23,103.2127,105.3008,103.1132,104.4954,9247639
2017-01-24,104.903,106.9713,104.3064,106.7227,10701271
2017-01-25,108.4329,108.6815,105.7329,107.1801,13084499
2017-01-26,107.2895,109.3279,106.0962,109.0296,11469970
2017-01-27,109.308,111.2569,108.2341,111.1376,11799929
2017-01-30,110.2924,110.3819,107.3,109.3975,12400084
2017-01-31,108.3335,109.4273,107.5878,108.5622,9068865
2017-02-01,109.9543,113.4743,109.2384,113.3052,14750082
2017-02-02,112.6589,115.0851,111.4259,114.7371,12081040
2017-02-03,114.7967,115.2442,113.2555,113.7328,9318633
2017-02-06,113.3549,116.6622,113.3549,116.6462,12669205
2017-02-07,118.0283,120.2358,117.2329,118.4559,18655567
2017-02-08,117.73,118.6349,115.7215,117.9389,11239487
2017-02-09,118.1874,118.3863,114.9459,115.7215,21064178
2017-02-10,119.2514,120.017,111.9629,112.9771,41277341
2017-02-13,112.7484,113.335,107.5878,107.7667,29518071
2017-02-14,107.3789,109.5267,105.6886,108.1645,21265787
2017-02-15,108.2838,109.1787,107.1502,108.3832,9325512
2017-02-16,108.771,108.8207,105.0621,106.6431,16179386
2017-02-17,106.0962,106.8022,104.1971,106.6232,14093465
